,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han,6709,81F3,5411,5408,5217,5B89,4EFB,5728,5B57,6210
0,4EFB.2.1,0.0001031825318209632,0.0001000258534050633,0.0005822987822028922,4.430107213535601e-07,6.098342704872878e-05,4.607095057566751e-09,0.2009721093859917,0.007402371145671425,3.442197631760303e-06,0.001935912874134199,0.0001031825318209632,0.0001000258534050633,0.0005822987822028922,4.430107213535601e-07,6.098342704872878e-05,4.607095057566751e-09,0.2009721093859917,0.007402371145671425,3.442197631760303e-06,0.001935912874134199
1,4EFB.2.10,0.0001296020630071127,0.0002155583803186173,0.0006089100283344358,6.136056630628957e-07,0.001722240444675599,2.32365531302801e-07,0.2086181203229363,0.01035337953860589,2.159787824014192e-06,0.0005671029887898641,0.0001296020630071127,0.0002155583803186173,0.0006089100283344358,6.136056630628957e-07,0.001722240444675599,2.32365531302801e-07,0.2086181203229363,0.01035337953860589,2.159787824014192e-06,0.0005671029887898641
2,4EFB.2.11,0.002131855595284249,6.34709136523566e-05,0.000520963354955065,6.459785344560168e-05,0.001715330671083057,6.195622621916225e-05,0.2125022264934223,0.005868398092058029,5.33404363624412e-05,0.005142903173390053,0.002131855595284249,6.34709136523566e-05,0.000520963354955065,6.459785344560168e-05,0.001715330671083057,6.195622621916225e-05,0.2125022264934223,0.005868398092058029,5.33404363624412e-05,0.005142903173390053
3,4EFB.2.12,0.002082869146826751,0.000527892684052314,0.0004125741021530514,0.003454947573656422,0.00120196172111328,2.752093430078848e-05,0.207720919891055,0.01933701987158731,2.82362808783934e-05,0.001818239663985229,0.002082869146826751,0.000527892684052314,0.0004125741021530514,0.003454947573656422,0.00120196172111328,2.752093430078848e-05,0.207720919891055,0.01933701987158731,2.82362808783934e-05,0.001818239663985229
4,4EFB.2.13,9.012715170348646e-05,2.285967025042367e-05,2.871850917420801e-05,7.589337915177358e-09,0.0001000951474035387,4.18858551381997e-07,0.2107049646295421,0.004990239398949613,6.711025816713525e-09,0.0005175662455670338,9.012715170348646e-05,2.285967025042367e-05,2.871850917420801e-05,7.589337915177358e-09,0.0001000951474035387,4.18858551381997e-07,0.2107049646295421,0.004990239398949613,6.711025816713525e-09,0.0005175662455670338
5,4EFB.2.14,0.0007789689222581359,1.498561746772658e-05,0.0005678146588592462,0.001245942255686499,7.220574609874908e-05,7.305109247161441e-09,0.2124287296045458,0.006575752498413778,8.980968704079528e-09,0.0003852380172578708,0.0007789689222581359,1.498561746772658e-05,0.0005678146588592462,0.001245942255686499,7.220574609874908e-05,7.305109247161441e-09,0.2124287296045458,0.006575752498413778,8.980968704079528e-09,0.0003852380172578708
6,4EFB.2.15,0.0001659422521451106,0.0007607609623933291,0.0001191307532406676,1.617352653933116e-05,0.001942487748314177,4.415237253529394e-05,0.206119197003043,0.0005206742473061825,5.845050893002298e-05,0.0004289199902691203,0.0001659422521451106,0.0007607609623933291,0.0001191307532406676,1.617352653933116e-05,0.001942487748314177,4.415237253529394e-05,0.206119197003043,0.0005206742473061825,5.845050893002298e-05,0.0004289199902691203
7,4EFB.2.16,0.002138540437513161,2.120652444270365e-06,3.964774351665975e-05,1.647874803217755e-05,9.94332497499549e-07,6.126208228077671e-09,0.2272769228518867,0.004807669032207623,1.45120055946225e-08,0.0004833941077406002,0.002138540437513161,2.120652444270365e-06,3.964774351665975e-05,1.647874803217755e-05,9.94332497499549e-07,6.126208228077671e-09,0.2272769228518867,0.004807669032207623,1.45120055946225e-08,0.0004833941077406002
8,5408.2.2,0.002919572708630315,0.0008308423330936617,0.0001899457937597291,0.2015331170526148,7.121046017459855e-10,5.204316067140204e-09,0.000109242212769607,0.0001876871088265393,6.013068760266373e-06,3.299934655220351e-07,0.002919572708630315,0.0008308423330936617,0.0001899457937597291,0.2015331170526148,7.121046017459855e-10,5.204316067140204e-09,0.000109242212769607,0.0001876871088265393,6.013068760266373e-06,3.299934655220351e-07
9,5408.2.20,0.005501505289863383,1.960198735997663e-06,0.0002321099915979672,0.2006778064958058,9.672455118258798e-07,4.608045694058485e-07,0.0005735721712220752,0.0001539511555280192,1.01162829642707e-05,5.256057612214785e-05,0.005501505289863383,1.960198735997663e-06,0.0002321099915979672,0.2006778064958058,9.672455118258798e-07,4.608045694058485e-07,0.0005735721712220752,0.0001539511555280192,1.01162829642707e-05,5.256057612214785e-05
10,5408.2.4,0.0002857181765513476,0.0004673871244856604,0.0002728645868917446,0.2097442347603892,7.468425659617925e-05,2.739000240599507e-06,8.355826189635412e-05,7.428395590053361e-06,3.772561346044907e-06,3.905233937020169e-06,0.0002857181765513476,0.0004673871244856604,0.0002728645868917446,0.2097442347603892,7.468425659617925e-05,2.739000240599507e-06,8.355826189635412e-05,7.428395590053361e-06,3.772561346044907e-06,3.905233937020169e-06
11,5408.2.5,0.002925939516280721,6.716813101189249e-05,0.0001315770309497508,0.2473551122118273,1.341714440474373e-05,3.127804629215726e-06,1.624978430477671e-05,4.066134246331333e-05,3.837955607965854e-06,4.196200403858894e-06,0.002925939516280721,6.716813101189249e-05,0.0001315770309497508,0.2473551122118273,1.341714440474373e-05,3.127804629215726e-06,1.624978430477671e-05,4.066134246331333e-05,3.837955607965854e-06,4.196200403858894e-06
12,5408.2.6,0.0025205475793884,1.740646951196738e-06,0.0002418710444982415,0.2123263426255192,2.107336804742579e-07,1.153219919030439e-06,0.0003251609807968548,2.901272571143093e-05,1.799218735569798e-06,1.111964461421796e-05,0.0025205475793884,1.740646951196738e-06,0.0002418710444982415,0.2123263426255192,2.107336804742579e-07,1.153219919030439e-06,0.0003251609807968548,2.901272571143093e-05,1.799218735569798e-06,1.111964461421796e-05
13,5408.2.7,0.008485117535570273,0.0002294047091168987,7.973980158029199e-05,0.2440873369186874,0.0002009914287641075,4.140436128526615e-06,8.40303120916888e-05,0.0001074986464553872,5.02783823404042e-06,8.339136702238003e-07,0.008485117535570273,0.0002294047091168987,7.973980158029199e-05,0.2440873369186874,0.0002009914287641075,4.140436128526615e-06,8.40303120916888e-05,0.0001074986464553872,5.02783823404042e-06,8.339136702238003e-07
14,5408.2.9,0.002314750708156549,0.00116732508388312,0.0001731255660955745,0.2063963852438964,6.853424237610285e-05,3.218089057286982e-09,3.079888021675999e-05,0.0002949113369184776,1.470082157657115e-06,2.452649009759587e-05,0.002314750708156549,0.00116732508388312,0.0001731255660955745,0.2063963852438964,6.853424237610285e-05,3.218089057286982e-09,3.079888021675999e-05,0.0002949113369184776,1.470082157657115e-06,2.452649009759587e-05
15,5411.2.19,4.115055424792296e-05,1.613547087806244e-07,0.2285244193145601,2.856965253406221e-06,0.0002829671431707569,3.193279768527952e-05,2.164591150831024e-07,1.316864625735644e-06,0.001707733872260517,8.406811529124183e-06,4.115055424792296e-05,1.613547087806244e-07,0.2285244193145601,2.856965253406221e-06,0.0002829671431707569,3.193279768527952e-05,2.164591150831024e-07,1.316864625735644e-06,0.001707733872260517,8.406811529124183e-06
16,5411.2.2,8.950280400343062e-05,1.272833719735898e-06,0.2138428805756974,7.751736931969196e-05,2.12392413921081e-05,4.327009688893535e-09,2.990149095192356e-07,5.860600298216243e-10,0.0009273364800937835,3.344008830200231e-05,8.950280400343062e-05,1.272833719735898e-06,0.2138428805756974,7.751736931969196e-05,2.12392413921081e-05,4.327009688893535e-09,2.990149095192356e-07,5.860600298216243e-10,0.0009273364800937835,3.344008830200231e-05
17,5411.2.20,6.065052609128876e-07,8.270788227690275e-09,0.2107800684827843,5.710292070921213e-06,7.081158667595477e-07,5.622653715558179e-10,7.773346231579415e-07,9.031200115422208e-11,1.379510989785063e-08,3.503254785270619e-06,6.065052609128876e-07,8.270788227690275e-09,0.2107800684827843,5.710292070921213e-06,7.081158667595477e-07,5.622653715558179e-10,7.773346231579415e-07,9.031200115422208e-11,1.379510989785063e-08,3.503254785270619e-06
18,5411.2.3,3.139743927201872e-06,4.948718291369996e-08,0.2009415175719213,4.217697999494862e-06,9.679577382914698e-06,1.755186708794344e-05,8.357754996399164e-08,8.339719043637486e-08,4.155635486886144e-05,3.159000597223645e-05,3.139743927201872e-06,4.948718291369996e-08,0.2009415175719213,4.217697999494862e-06,9.679577382914698e-06,1.755186708794344e-05,8.357754996399164e-08,8.339719043637486e-08,4.155635486886144e-05,3.159000597223645e-05
19,5411.2.4,5.663494244768573e-06,4.453343426727695e-05,0.2015366756961858,0.000171295431486121,9.291776463543664e-05,3.129159543564869e-05,2.889323688809441e-08,2.223004370180974e-07,0.0007654450129654468,2.421951092787565e-06,5.663494244768573e-06,4.453343426727695e-05,0.2015366756961858,0.000171295431486121,9.291776463543664e-05,3.129159543564869e-05,2.889323688809441e-08,2.223004370180974e-07,0.0007654450129654468,2.421951092787565e-06
20,5411.2.5,4.197912632520329e-05,1.629115743744209e-07,0.2069281027120738,6.395879296386557e-06,5.469332116972881e-05,3.042559231555538e-05,1.159626030403249e-06,1.522159899620137e-08,0.003953580523740298,2.187081449366934e-06,4.197912632520329e-05,1.629115743744209e-07,0.2069281027120738,6.395879296386557e-06,5.469332116972881e-05,3.042559231555538e-05,1.159626030403249e-06,1.522159899620137e-08,0.003953580523740298,2.187081449366934e-06
21,5411.2.6,1.075593176151412e-05,3.495474132958833e-09,0.004711943936428234,1.777337034297234e-05,1.685223805921811e-05,4.138758504284452e-06,2.806835603589914e-09,1.941033759221787e-09,0.0001197745721259418,1.522340137272646e-05,1.075593176151412e-05,3.495474132958833e-09,0.004711943936428234,1.777337034297234e-05,1.685223805921811e-05,4.138758504284452e-06,2.806835603589914e-09,1.941033759221787e-09,0.0001197745721259418,1.522340137272646e-05
22,5411.2.7,1.57525805769403e-05,1.715574883772084e-05,0.2018428910060523,9.956674017126516e-06,1.118255879465815e-05,5.890574401011558e-06,3.467752252214444e-07,1.349641637512264e-06,0.0008206671347683667,2.199820486307762e-05,1.57525805769403e-05,1.715574883772084e-05,0.2018428910060523,9.956674017126516e-06,1.118255879465815e-05,5.890574401011558e-06,3.467752252214444e-07,1.349641637512264e-06,0.0008206671347683667,2.199820486307762e-05
23,5411.2.8,2.021452555263393e-06,1.961792622192952e-07,0.2201239901671652,3.034948627914288e-06,2.511091280614891e-06,1.677706181976913e-05,1.130854864542002e-06,1.979002467311482e-08,0.0002282731540996658,6.75802115852327e-05,2.021452555263393e-06,1.961792622192952e-07,0.2201239901671652,3.034948627914288e-06,2.511091280614891e-06,1.677706181976913e-05,1.130854864542002e-06,1.979002467311482e-08,0.0002282731540996658,6.75802115852327e-05
24,5411.2.9,3.13313637323398e-06,8.941814335776103e-10,0.212170966986525,1.199425489177428e-06,5.216509287499611e-06,3.934280177386616e-06,8.460709742580348e-08,8.470330236488796e-09,0.0007750240905066626,1.354274846828934e-05,3.13313637323398e-06,8.941814335776103e-10,0.212170966986525,1.199425489177428e-06,5.216509287499611e-06,3.934280177386616e-06,8.460709742580348e-08,8.470330236488796e-09,0.0007750240905066626,1.354274846828934e-05
25,56E0.2.1,0.01386422347544329,6.780553914877606e-08,0.001435276244208296,0.001300685961175081,0.0002099535600309159,1.111578619455466e-06,3.643060463407085e-06,0.0002132727909914302,3.970423487235413e-07,4.859597505439168e-05,0.01386422347544329,6.780553914877606e-08,0.001435276244208296,0.001300685961175081,0.0002099535600309159,1.111578619455466e-06,3.643060463407085e-06,0.0002132727909914302,3.970423487235413e-07,4.859597505439168e-05
26,56E0.2.10,0.002245440644913401,4.54563958212964e-09,0.009459335667455463,0.01225899887796817,1.980806316637568e-05,2.941207764991218e-07,0.0001326724233603874,0.0006826533108619437,9.021442599865307e-05,0.00021527153336953,0.002245440644913401,4.54563958212964e-09,0.009459335667455463,0.01225899887796817,1.980806316637568e-05,2.941207764991218e-07,0.0001326724233603874,0.0006826533108619437,9.021442599865307e-05,0.00021527153336953
27,56E0.2.11,7.79209910289256e-05,7.859312349295869e-08,0.0004452167515263381,0.003771572333651223,6.859172131486504e-05,5.477019917476715e-05,6.973087456341189e-06,8.313423269369257e-05,3.117747253207288e-05,7.942693146335383e-05,7.79209910289256e-05,7.859312349295869e-08,0.0004452167515263381,0.003771572333651223,6.859172131486504e-05,5.477019917476715e-05,6.973087456341189e-06,8.313423269369257e-05,3.117747253207288e-05,7.942693146335383e-05
28,56E0.2.12,0.0009712876176514013,0.0001393836305432741,0.008451919020702626,0.0001335764795590583,0.0005826002934200035,8.085904310675137e-05,0.0001847545965359657,0.0002370011574322406,1.783778227665084e-06,6.804550117063895e-05,0.0009712876176514013,0.0001393836305432741,0.008451919020702626,0.0001335764795590583,0.0005826002934200035,8.085904310675137e-05,0.0001847545965359657,0.0002370011574322406,1.783778227665084e-06,6.804550117063895e-05
29,56E0.2.13,0.000527267649801886,2.110770144011365e-06,0.002901608526197891,0.0001780562312989427,0.0002042917583524794,6.576698067004635e-06,0.0003107421585825515,6.553889228318272e-05,8.440117729248625e-06,5.173742359471206e-05,0.000527267649801886,2.110770144011365e-06,0.002901608526197891,0.0001780562312989427,0.0002042917583524794,6.576698067004635e-06,0.0003107421585825515,6.553889228318272e-05,8.440117729248625e-06,5.173742359471206e-05
30,56E0.2.14,0.0003431782071968291,6.261996825595979e-05,0.001729165979344683,0.005077079877295564,0.0001428665972725254,3.272525904627616e-07,9.755371732595744e-06,0.0001083310810753227,4.073994012932765e-07,0.000307170279072473,0.0003431782071968291,6.261996825595979e-05,0.001729165979344683,0.005077079877295564,0.0001428665972725254,3.272525904627616e-07,9.755371732595744e-06,0.0001083310810753227,4.073994012932765e-07,0.000307170279072473
31,56E0.2.15,1.229499988454825e-05,7.124151368855989e-07,0.004613167955302093,0.006209330927747284,0.0004367176483520898,5.82402342219514e-08,3.665431678197112e-05,8.603379500648114e-07,6.577783638026617e-08,0.0001758607922845187,1.229499988454825e-05,7.124151368855989e-07,0.004613167955302093,0.006209330927747284,0.0004367176483520898,5.82402342219514e-08,3.665431678197112e-05,8.603379500648114e-07,6.577783638026617e-08,0.0001758607922845187
32,5728.2.1,0.0004986480374099276,0.0002776606729262923,0.0002707912346059242,4.698397491972818e-08,0.0001825655633698101,1.135474225298246e-06,0.04013899658068588,0.2340412968440834,0.0005692204134825545,7.17798382068032e-06,0.0004986480374099276,0.0002776606729262923,0.0002707912346059242,4.698397491972818e-08,0.0001825655633698101,1.135474225298246e-06,0.04013899658068588,0.2340412968440834,0.0005692204134825545,7.17798382068032e-06
33,5728.2.10,0.116774963376737,4.388709247355974e-05,0.0001734559629305958,0.0001568407875840057,7.346836547532415e-05,4.516775274207071e-06,0.05924343269282156,0.208643444810488,0.000377741172610749,0.0002311112702274352,0.116774963376737,4.388709247355974e-05,0.0001734559629305958,0.0001568407875840057,7.346836547532415e-05,4.516775274207071e-06,0.05924343269282156,0.208643444810488,0.000377741172610749,0.0002311112702274352
34,5728.2.11,0.08326891063585805,1.425399606385878e-05,4.05335826036546e-05,6.015380699390447e-06,1.5493016251831e-10,3.113505382950593e-09,0.04736958012302066,0.2015236115661416,9.063983990790027e-05,1.585643091766594e-05,0.08326891063585805,1.425399606385878e-05,4.05335826036546e-05,6.015380699390447e-06,1.5493016251831e-10,3.113505382950593e-09,0.04736958012302066,0.2015236115661416,9.063983990790027e-05,1.585643091766594e-05
35,5728.2.12,0.004390785160869467,0.0006008832357804606,0.001260835409818538,0.0006742271256108319,0.0003838510889478179,0.0002200604092555273,0.04413450175393509,0.2088493733887666,2.494684057655836e-05,4.1010814617421e-05,0.004390785160869467,0.0006008832357804606,0.001260835409818538,0.0006742271256108319,0.0003838510889478179,0.0002200604092555273,0.04413450175393509,0.2088493733887666,2.494684057655836e-05,4.1010814617421e-05
36,5728.2.13,0.02337634141659011,0.0001350359131949196,0.0001889888123969098,0.0001372177427720809,0.0007204616993090354,1.050817520566607e-09,0.04820674743804401,0.2014990793019035,3.623901961496811e-05,3.922156282240244e-07,0.02337634141659011,0.0001350359131949196,0.0001889888123969098,0.0001372177427720809,0.0007204616993090354,1.050817520566607e-09,0.04820674743804401,0.2014990793019035,3.623901961496811e-05,3.922156282240244e-07
37,5728.2.14,0.007643447638780956,0.0007494372080580348,0.0006154119170681676,3.595733176385952e-05,0.0001652557842488656,5.249377801942686e-07,0.07432895265306506,0.2173829555489332,0.0006957097691310443,0.0001110680861456122,0.007643447638780956,0.0007494372080580348,0.0006154119170681676,3.595733176385952e-05,0.0001652557842488656,5.249377801942686e-07,0.07432895265306506,0.2173829555489332,0.0006957097691310443,0.0001110680861456122
38,5728.2.15,0.1016342311911938,4.035190469954217e-05,0.0001754061035983908,0.001261089228929846,0.001552475117800032,0.0002364751938863226,0.04893604990729951,0.2134951507093067,0.0001707217044321683,0.0007409806491422584,0.1016342311911938,4.035190469954217e-05,0.0001754061035983908,0.001261089228929846,0.001552475117800032,0.0002364751938863226,0.04893604990729951,0.2134951507093067,0.0001707217044321683,0.0007409806491422584
39,5728.2.16,0.00410679303993508,0.0004377690126079913,0.0002448147215825202,1.150797288713991e-05,0.0004249308401102537,0.0001141681641155244,0.0493846071486869,0.2188815770767831,0.0001718647196302609,8.318904327912275e-06,0.00410679303993508,0.0004377690126079913,0.0002448147215825202,1.150797288713991e-05,0.0004249308401102537,0.0001141681641155244,0.0493846071486869,0.2188815770767831,0.0001718647196302609,8.318904327912275e-06
40,5728.2.17,0.04261130359072152,0.0003894631687141899,0.0003543163905875324,0.0007984396348596689,0.001763915993240057,0.0004161928811891894,0.05076220164361938,0.2070636948072002,0.001329460300696688,0.0001393087450461693,0.04261130359072152,0.0003894631687141899,0.0003543163905875324,0.0007984396348596689,0.001763915993240057,0.0004161928811891894,0.05076220164361938,0.2070636948072002,0.001329460300696688,0.0001393087450461693
41,5728.2.18,0.01893566555303083,0.00343426209941253,0.0003227224250491043,0.0002576089049760233,0.002498984615107601,0.000188142838786016,0.06417939579284404,0.2336989190580837,0.0001952058091798618,0.0002707002960258452,0.01893566555303083,0.00343426209941253,0.0003227224250491043,0.0002576089049760233,0.002498984615107601,0.000188142838786016,0.06417939579284404,0.2336989190580837,0.0001952058091798618,0.0002707002960258452
42,5728.2.19,0.02968081213687542,0.001465886331845977,1.074354526008707e-05,0.002083968167291343,0.001826903419303972,9.023744439854523e-09,0.03316124575087497,0.2366728400836592,3.545315580835008e-05,5.428213417232855e-07,0.02968081213687542,0.001465886331845977,1.074354526008707e-05,0.002083968167291343,0.001826903419303972,9.023744439854523e-09,0.03316124575087497,0.2366728400836592,3.545315580835008e-05,5.428213417232855e-07
43,5728.2.2,0.03473271758880684,0.0007628627555073354,7.386110932647547e-05,0.0001208857178772282,0.000488836267096502,9.081505817671558e-06,0.04896128287014002,0.2065695025779424,0.0004624913746825213,8.150251321074973e-05,0.03473271758880684,0.0007628627555073354,7.386110932647547e-05,0.0001208857178772282,0.000488836267096502,9.081505817671558e-06,0.04896128287014002,0.2065695025779424,0.0004624913746825213,8.150251321074973e-05
44,5728.2.20,0.001818455339675528,0.002525424313362606,0.0008362453570723777,0.0002038139251491356,0.0003090361475500709,1.13438525142904e-06,0.05131941671756306,0.2197483756532827,0.0006253297280338664,0.0001364353046668801,0.001818455339675528,0.002525424313362606,0.0008362453570723777,0.0002038139251491356,0.0003090361475500709,1.13438525142904e-06,0.05131941671756306,0.2197483756532827,0.0006253297280338664,0.0001364353046668801
45,5728.2.3,0.02213252101392257,0.001812847139055502,0.000880585014154718,9.637264062954151e-05,0.002914575548840115,1.959080205831159e-06,0.04045206675942623,0.2316902033249443,0.0004282561454968548,1.450765596679187e-05,0.02213252101392257,0.001812847139055502,0.000880585014154718,9.637264062954151e-05,0.002914575548840115,1.959080205831159e-06,0.04045206675942623,0.2316902033249443,0.0004282561454968548,1.450765596679187e-05
46,5728.2.4,0.007373677273215372,0.0006230106535985578,0.0009928372497049703,2.087093851660559e-07,0.0001091606468222623,0.0001172710634869491,0.07829463228657009,0.2266672121426846,0.0003517434356366759,3.117243863016047e-05,0.007373677273215372,0.0006230106535985578,0.0009928372497049703,2.087093851660559e-07,0.0001091606468222623,0.0001172710634869491,0.07829463228657009,0.2266672121426846,0.0003517434356366759,3.117243863016047e-05
47,5728.2.5,0.004590337355930618,0.0006518407790714302,4.95718048199351e-09,5.847263719318398e-06,4.171847469657704e-10,3.108990868035073e-08,0.03086152007581434,0.2141103642682029,0.0007285366480664769,3.430398996017757e-07,0.004590337355930618,0.0006518407790714302,4.95718048199351e-09,5.847263719318398e-06,4.171847469657704e-10,3.108990868035073e-08,0.03086152007581434,0.2141103642682029,0.0007285366480664769,3.430398996017757e-07
48,5728.2.6,0.004168108758671666,0.001625738158543937,0.001423234995528628,1.200965204300068e-05,0.0005561409646049823,8.780792253829485e-06,0.04342300043030464,0.2067655984785478,0.0002582253411065264,2.507424451598613e-05,0.004168108758671666,0.001625738158543937,0.001423234995528628,1.200965204300068e-05,0.0005561409646049823,8.780792253829485e-06,0.04342300043030464,0.2067655984785478,0.0002582253411065264,2.507424451598613e-05
49,5728.2.7,0.005117441944845365,0.001089730564143929,7.341654673233279e-05,2.635846262842099e-05,0.0004217084740204145,1.457003042205904e-06,0.0829593826881792,0.2098112205415376,0.0001370245762018211,9.459877746054475e-06,0.005117441944845365,0.001089730564143929,7.341654673233279e-05,2.635846262842099e-05,0.0004217084740204145,1.457003042205904e-06,0.0829593826881792,0.2098112205415376,0.0001370245762018211,9.459877746054475e-06
50,5728.2.8,0.01368403606399131,0.0003004474057655033,0.0001765771375407632,5.677198971772293e-05,0.000246090396467894,1.708216485968002e-06,0.1035843246176095,0.2111187176037634,0.0001652950686027555,0.0002760646242994426,0.01368403606399131,0.0003004474057655033,0.0001765771375407632,5.677198971772293e-05,0.000246090396467894,1.708216485968002e-06,0.1035843246176095,0.2111187176037634,0.0001652950686027555,0.0002760646242994426
51,5728.2.9,0.009884851174805311,0.0006041089499516922,0.0003692378556577433,1.914727494406681e-06,0.0003643541060312929,0.000152724575489106,0.04070970037165156,0.2270178445596126,0.0008249846843670718,3.193247224127943e-05,0.009884851174805311,0.0006041089499516922,0.0003692378556577433,1.914727494406681e-06,0.0003643541060312929,0.000152724575489106,0.04070970037165156,0.2270178445596126,0.0008249846843670718,3.193247224127943e-05
52,5B57.2.19,2.553988489913064e-05,0.0001168648587818263,6.733898953393443e-05,0.0001666617508616044,3.283840529592167e-06,5.428338554895492e-05,2.714378333987411e-05,1.145397701028019e-06,0.2345390688617586,7.184821498594288e-07,2.553988489913064e-05,0.0001168648587818263,6.733898953393443e-05,0.0001666617508616044,3.283840529592167e-06,5.428338554895492e-05,2.714378333987411e-05,1.145397701028019e-06,0.2345390688617586,7.184821498594288e-07
53,5B57.2.2,2.612545479044602e-05,9.533196004228462e-05,0.0001813180746995835,3.524949252407917e-05,1.606094620775109e-05,4.96549248115493e-05,3.294112573492787e-05,1.115475340080802e-05,0.2134088406645518,2.847903939581113e-09,2.612545479044602e-05,9.533196004228462e-05,0.0001813180746995835,3.524949252407917e-05,1.606094620775109e-05,4.96549248115493e-05,3.294112573492787e-05,1.115475340080802e-05,0.2134088406645518,2.847903939581113e-09
54,5B57.2.20,1.801225617975079e-06,0.0006663377800940487,0.0002393963152056189,0.001258099630109406,1.313279166733555e-07,1.050576577356385e-05,6.056970845572762e-06,9.910199883858228e-05,0.2005685538736553,1.074740985974596e-05,1.801225617975079e-06,0.0006663377800940487,0.0002393963152056189,0.001258099630109406,1.313279166733555e-07,1.050576577356385e-05,6.056970845572762e-06,9.910199883858228e-05,0.2005685538736553,1.074740985974596e-05
55,5B57.2.3,6.21213732461263e-05,0.0003862705723820454,2.498880320656977e-06,1.67114750784363e-05,2.233233715246344e-06,9.414225568808925e-05,2.580300334148639e-05,5.23275796380342e-05,0.2019581904501963,1.993413078852742e-05,6.21213732461263e-05,0.0003862705723820454,2.498880320656977e-06,1.67114750784363e-05,2.233233715246344e-06,9.414225568808925e-05,2.580300334148639e-05,5.23275796380342e-05,0.2019581904501963,1.993413078852742e-05
56,5B57.2.4,1.024012249908859e-06,2.546602405588673e-07,0.0002249055113107815,2.836926092798014e-05,9.243745114306361e-07,1.064326871869825e-05,2.534087250020389e-06,1.244729587574603e-07,0.2127342427085189,2.716248060975658e-09,1.024012249908859e-06,2.546602405588673e-07,0.0002249055113107815,2.836926092798014e-05,9.243745114306361e-07,1.064326871869825e-05,2.534087250020389e-06,1.244729587574603e-07,0.2127342427085189,2.716248060975658e-09
57,5B57.2.5,3.251470862146103e-06,2.637470611579574e-07,0.0005564294534674171,3.730203215181987e-09,3.215991005200271e-07,2.622523249333074e-06,5.135125642517675e-10,2.212062475597901e-11,0.2002446905677226,1.071704236415384e-06,3.251470862146103e-06,2.637470611579574e-07,0.0005564294534674171,3.730203215181987e-09,3.215991005200271e-07,2.622523249333074e-06,5.135125642517675e-10,2.212062475597901e-11,0.2002446905677226,1.071704236415384e-06
58,5B57.2.6,0.0002629620871630354,2.612321441729469e-05,0.0001775342467917637,2.362465780580577e-06,1.659398048897667e-06,5.882532048128927e-06,6.835756792516407e-08,7.365361982195471e-07,0.2334876166628992,3.561126811586949e-08,0.0002629620871630354,2.612321441729469e-05,0.0001775342467917637,2.362465780580577e-06,1.659398048897667e-06,5.882532048128927e-06,6.835756792516407e-08,7.365361982195471e-07,0.2334876166628992,3.561126811586949e-08
59,5B57.2.7,0.0002514280635770192,0.000420739694048458,0.000147579954306482,1.075179873915686e-05,1.861995964983241e-05,1.013974958006317e-05,6.000704819754498e-05,3.548772219014816e-06,0.2180030152147356,3.765298591770727e-07,0.0002514280635770192,0.000420739694048458,0.000147579954306482,1.075179873915686e-05,1.861995964983241e-05,1.013974958006317e-05,6.000704819754498e-05,3.548772219014816e-06,0.2180030152147356,3.765298591770727e-07
60,5B57.2.8,2.65410803801764e-06,0.0002954529686688402,1.508153654842247e-06,2.134623090539946e-06,0.0001079467604992587,4.693871538543784e-06,1.187822574651765e-06,4.26296667494356e-06,0.2139779394897385,5.129283084562798e-06,2.65410803801764e-06,0.0002954529686688402,1.508153654842247e-06,2.134623090539946e-06,0.0001079467604992587,4.693871538543784e-06,1.187822574651765e-06,4.26296667494356e-06,0.2139779394897385,5.129283084562798e-06
61,5B57.2.9,8.401937066878654e-05,0.0009528148178579801,0.000100371724943527,8.671530940047509e-05,3.900671370931443e-05,5.19376460611899e-06,1.091162135019526e-07,1.353228539512221e-06,0.2005450918698821,1.207244952861997e-07,8.401937066878654e-05,0.0009528148178579801,0.000100371724943527,8.671530940047509e-05,3.900671370931443e-05,5.19376460611899e-06,1.091162135019526e-07,1.353228539512221e-06,0.2005450918698821,1.207244952861997e-07
